tracklet_id,p_NEO,p_MBA,p_TNO,p_Trojan,rho_NEO,rho_MBA,rho_TNO,rho_Trojan,valid,reason,v_lambda,v_beta,mean_V,map_center_id,magnitude_bin_id,map_id,interface_version,scorer_seal,map_seal,input_hash
SAMEMAP000,0.08892548469364032,0.8735630981637736,0.011380849040170372,0.02613056810241554,63.19270331151435,620.7760787172698,8.087519784753596,18.56904399392449,True,ok,0.5875311226341329,-0.18425311165707425,22.104384889121786,dlon-130_lat+08,V022.00_022.25,mag025_k150_dlon-130_lat+08.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
SAMEMAP001,0.41143818221589024,0.3918140502434338,0.0751610455751571,0.12158672196551898,22.878543159162913,21.787318353835126,4.179425487002432,6.760984240907512,True,ok,0.6460442939570401,-0.5684647021929978,24.4109330605419,dlon-130_lat+08,V024.25_024.50,mag025_k150_dlon-130_lat+08.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
SAMEMAP002,0.011311534399658901,0.9879343605338655,0.00020419493345421046,0.0005499101330213017,605.3658783107024,52871.8501617199,10.928017443931486,29.42985618984052,True,ok,0.5430044602866985,-0.0784682816939361,24.742948091246177,dlon-130_lat+08,V024.50_024.75,mag025_k150_dlon-130_lat+08.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
SAMEMAP003,0.7078593708535258,0.2607125103714009,0.011969626266396333,0.01945849250867708,219.15449910867784,80.71704914058884,3.705817224355102,6.024383309367113,True,ok,0.9018543865632661,0.14458738050450912,23.582996691522027,dlon-130_lat+08,V023.50_023.75,mag025_k150_dlon-130_lat+08.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
SAMEMAP004,0.004040065357307891,0.9948777796849875,0.0002522278943911715,0.0008299270633133662,240.09102577682035,59123.109534619,14.989275800789676,49.32049913262451,True,ok,0.4595046367460639,-0.09893876654671227,23.583932333722963,dlon-130_lat+08,V023.50_023.75,mag025_k150_dlon-130_lat+08.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
SAMEMAP005,0.5965167810346542,0.32561263393927514,0.03077217321274966,0.04709841181332091,68.22463683180318,37.2408696697895,3.5194656859841524,5.386725308456754,True,ok,0.9185624941301679,0.15066647242863979,21.848440454939897,dlon-130_lat+08,V021.75_022.00,mag025_k150_dlon-130_lat+08.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
DIFFMAP000,0.7088278043420164,0.1933699896985782,0.043317056799099266,0.05448514916030621,28.093995077005495,7.664111798880856,1.7168474106259413,2.159488528670882,True,ok,1.272274711966465,0.3475904929881435,24.716453455923507,dlon+090_lat-18,V024.50_024.75,mag025_k150_dlon+090_lat-18.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
DIFFMAP001,0.7228800983494432,0.26707782998332186,0.003766929819542164,0.0062751418476927525,740.8175192126422,273.7050527420883,3.8604017600334615,6.4308521246188235,True,ok,0.8954491221287422,0.14362642701600387,24.84965060198142,dlon+140_lat+05,V024.75_025.00,mag025_k150_dlon+140_lat+05.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
DIFFMAP002,0.8903534809109259,0.06711802912917479,0.018841339221445194,0.023687150738454166,70.75286566998038,5.333604013264279,1.4972466234574204,1.8823240771606424,True,ok,1.4110418665382216,-0.20522974451374615,24.84112234011395,dlon-090_lat-01,V024.75_025.00,mag025_k150_dlon-090_lat-01.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
DIFFMAP003,0.02211243166670495,0.9637710123113238,0.003750609294921394,0.010365946727049831,84.26460541191845,3672.6754110060547,14.292576097213994,39.5018704338627,True,ok,0.4142872163398431,-0.22103283466263832,23.957539380960124,dlon+110_lat+04,V023.75_024.00,mag025_k150_dlon+110_lat+04.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
DIFFMAP004,0.06264170735685867,0.2759408199309788,0.3436018843961466,0.317815588316016,1.449521229783819,6.385235868097926,7.950904390082965,7.354212741933816,True,ok,-0.2861110752834242,-0.5201213330694876,23.880324465755223,dlon+140_lat-35,V023.75_024.00,mag025_k150_dlon+140_lat-35.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
MISSDENS000,,,,,,,,,False,missing_population_density:Trojans,0.9521968195466931,-0.5837682506037181,23.55498597770826,dlon+030_lat+18,V023.50_023.75,mag025_k150_dlon+030_lat+18.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
MISSDENS001,,,,,,,,,False,missing_population_density:Trojans,-4.928841441344795,0.08297661444704228,22.89010349312757,dlon-040_lat-12,V022.75_023.00,mag025_k150_dlon-040_lat-12.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
MISSDENS002,,,,,,,,,False,missing_population_density:Trojans,-2.0496596638246967,0.5999691627985492,24.11021081348525,dlon+020_lat-03,V024.00_024.25,mag025_k150_dlon+020_lat-03.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
MISSDENS003,,,,,,,,,False,"missing_population_density:TNO,Trojans",-1.0164100256838842,-2.632426338420809,22.83281404236191,dlon+020_lat+50,V022.75_023.00,mag025_k150_dlon+020_lat+50.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
MAGEDGE000,,,,,,,,,False,missing_population_density:Trojans,4.647808062543154,2.0127963848295725,24.99921609276426,dlon+040_lat+35,V024.75_025.00,mag025_k150_dlon+040_lat+35.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
MAGEDGE001,0.027940655119545566,0.9400739782207688,0.0074338901886810745,0.02455147647100452,72.87298177138426,2451.8392137023366,19.38858419362069,64.03354859351562,True,ok,0.3315675550379257,0.23289407159384812,23.99919399679316,dlon-110_lat+00,V023.75_024.00,mag025_k150_dlon-110_lat+00.npz,rubin_vdp_scorer_v1,0e61ec37e263e9a4f9e81ed4ef25ef8fa069f630b8d2003f2ce29ce37de9eaeb,a010bb1bf2e421a3258ff007f7bc4034369918a3877418620cd14e3f0b9d19ab,89f9e428c1574275bb6a6d0785fa3e1ad5ad889f9901e8a0164a9846fd0e7f01
