tracklet_id,mjd0,ra0,dec0,mag0_V,mjd1,ra1,dec1,mag1_V,observatory_code
SAMEMAP000,61642.0,202.75499260380943,-1.1412138099050546,22.104384889121782,61642.020833333336,202.76483884636545,-1.1492695648686864,22.104384889121782,X05
SAMEMAP001,61642.0,199.42551445993308,-0.030700319822105155,24.4109330605419,61642.020833333336,199.43338222854078,-0.04671156288656285,24.4109330605419,X05
SAMEMAP002,61642.0,200.48586915000314,1.92102849877133,24.742948091246177,61642.020833333336,200.4955769511588,1.9152998000033328,24.742948091246177,X05
SAMEMAP003,61642.0,206.58564385467326,-1.781421747007913,23.582996691522027,61642.020833333336,206.60407031285797,-1.78529466007066,23.582996691522027,X05
SAMEMAP004,61642.0,202.9120519704307,-2.5536399395754796,23.583932333722963,61642.020833333336,202.9201402394635,-2.5590633670942706,23.583932333722963,X05
SAMEMAP005,61642.0,200.8341085398108,-0.940511953193115,21.848440454939897,61642.020833333336,200.85288711187445,-0.9447162643791127,21.848440454939897,X05
DIFFMAP000,61642.0,66.60676274796562,2.238528144848814,24.716453455923507,61642.020833333336,66.63024753283672,2.249853759673519,24.716453455923507,X05
DIFFMAP001,61642.0,111.07150783270613,28.481631359964144,24.84965060198142,61642.020833333336,111.09287030393224,28.481924479307544,24.84965060198142,X05
DIFFMAP002,61642.0,241.04278721355803,-21.832697281004418,24.84112234011395,61642.020833333336,241.072970031392,-21.842554238323796,24.84112234011395,X05
DIFFMAP003,61642.0,75.46762801729973,27.030653789156844,23.957539380960124,61642.020833333336,75.47775977641803,27.026933545432712,23.957539380960124,X05
DIFFMAP004,61642.0,103.83280954454698,-13.935311371585353,23.880324465755223,61642.020833333336,103.8265899212461,-13.945504104181754,23.880324465755223,X05
MISSDENS000,61642.0,356.6245924284593,18.901932264273025,23.55498597770826,61642.020833333336,356.64802051853485,18.89876685340183,23.55498597770826,X05
MISSDENS001,61642.0,295.64985784227207,-34.43611060012148,22.890103493127572,61642.020833333336,295.5300311747987,-34.452089876706225,22.890103493127572,X05
MISSDENS002,61642.0,351.5832429564831,-6.6832824831930875,24.110210813485246,61642.020833333336,351.5388160006571,-6.688596643511884,24.110210813485246,X05
MISSDENS003,61642.0,316.50407816848605,54.41696755725725,22.83281404236191,61642.020833333336,316.5568362588657,54.37064261781525,22.83281404236191,X05
MAGEDGE000,61642.0,354.9269881306482,41.10485268980386,24.99921609276426,61642.020833333336,354.98447181993043,41.179287326353176,24.99921609276426,X05
MAGEDGE001,61642.0,223.35520374844717,-16.50002945335355,23.99919399679316,61642.020833333336,223.36356376216938,-16.497382756752454,23.99919399679316,X05
MAGEDGE002,61642.0,328.9754300535085,9.85041421667672,23.749972622231247,61642.020833333336,328.9591047386834,9.85113093216367,23.749972622231247,X05
MAGEDGE003,61642.0,296.79563453201547,19.216913859506572,22.74920741721488,61642.020833333336,296.7263527067533,19.071726555244762,22.74920741721488,X05
VELEDGE000,61642.0,295.64985784227207,-34.43611060012148,22.890103493127572,61642.020833333336,295.5300311747987,-34.452089876706225,22.890103493127572,X05
VELEDGE001,61642.0,23.857345145811742,-57.94532151185512,23.795803300847695,61642.020833333336,23.951091864646884,-57.929845721149626,23.795803300847695,X05
VELEDGE002,61642.0,335.3011158174832,-0.6923764976504946,23.96073063179146,61642.020833333336,335.28197409091905,-0.7821449637824384,23.96073063179146,X05
VELOUT000,61642.0,87.03207996813755,-37.48720479228661,24.59239089124357,61642.020833333336,87.08924766820333,-37.43818759429916,24.59239089124357,X05
VELOUT001,61642.0,264.65475981719067,61.95398267060265,24.432916011596056,61642.020833333336,264.6761991910008,61.94701562782259,24.432916011596056,X05
VELOUT002,61642.0,43.626768986302864,1.0496402619950482,23.745503609684715,61642.020833333336,43.63187330254873,0.9311894234122842,23.745503609684715,X05
BAD_NAN_MJD,,202.75499260380943,-1.1412138099050546,22.104384889121782,61642.020833333336,202.76483884636545,-1.1492695648686864,22.104384889121782,X05
BAD_RA_400,61642.0,400.0,-1.1412138099050546,22.104384889121782,61642.020833333336,202.76483884636545,-1.1492695648686864,22.104384889121782,X05
BAD_DEC_100,61642.0,202.75499260380943,100.0,22.104384889121782,61642.020833333336,202.76483884636545,-1.1492695648686864,22.104384889121782,X05
BAD_TIME_ORDER,61642.0,202.75499260380943,-1.1412138099050546,22.104384889121782,61641.99,202.76483884636545,-1.1492695648686864,22.104384889121782,X05
BAD_MAG_NAN,61642.0,202.75499260380943,-1.1412138099050546,,61642.020833333336,202.76483884636545,-1.1492695648686864,22.104384889121782,X05
BAD_V_TOO_FAINT,61642.0,202.75499260380943,-1.1412138099050546,25.6,61642.020833333336,202.76483884636545,-1.1492695648686864,25.6,X05
BAD_V_TOO_BRIGHT,61642.0,202.75499260380943,-1.1412138099050546,13.4,61642.020833333336,202.76483884636545,-1.1492695648686864,13.4,X05
