,ra_bench,ra_sorcha,dec_bench,dec_sorcha,vlam_bench,vlam_sorcha,vbeta_bench,vbeta_sorcha,mag_bench,mag_sorcha,H,e,P_vdp_bench,P_vdp_sorcha,P_d2_bench,P_d2_sorcha,sky_sep_deg,dv_deg_day,dmag,dP_vdp,dP_d2
S0000qW2a,7.2141,7.0232,-14.545,-14.552,-0.5821,-0.6145,0.2316,0.2467,23.7498,23.8864,23.783,0.3211,1.0,1.0,1.0,1.0,0.1849,0.0357,0.1365,0.0,0.0
S0000jgka,24.3444,24.632,-12.0989,-12.2108,0.703,0.6763,-0.6337,-0.6257,23.6763,23.6783,23.367,0.4947,1.0,1.0,0.99,1.0,0.3026,0.028,0.002,0.0,0.01
S0000cAza,318.3635,318.2238,-4.3228,-4.6136,-1.2907,-1.3447,-1.4197,-1.3941,20.5298,21.2817,22.84,0.361,1.0,1.0,1.0,1.0,0.3225,0.0598,0.7519,0.0,0.0
S000023La,359.3603,359.4798,-34.9271,-35.2718,-0.1969,-0.2184,-0.8957,-0.8809,20.797,20.9382,20.594,0.5339,1.0,1.0,0.91,0.91,0.3583,0.0261,0.1412,0.0,0.0
S00001Yta,353.599,353.4764,-4.638,-4.6962,-0.5264,-0.5364,-0.0223,-0.0179,23.3875,23.475,20.542,0.8381,1.0,1.0,1.0,1.0,0.1353,0.0109,0.0875,0.0,0.0
S0000avHa,257.1039,256.947,-49.8205,-49.4934,-1.8897,-1.9427,4.1065,4.1315,21.5703,22.7378,22.616,0.3838,0.0,0.0,1.0,1.0,0.3424,0.0586,1.1675,0.0,0.0
S00001MJa,298.9682,298.8657,-32.0033,-31.999,-0.3963,-0.4031,0.0982,0.1046,23.0013,23.1115,20.417,0.6271,1.0,1.0,1.0,1.0,0.087,0.0093,0.1102,0.0,0.0
S00009jva,257.7193,257.6921,-45.8107,-45.8249,-0.3065,-0.3238,-0.2727,-0.2685,24.219,24.2387,22.466,0.6416,1.0,1.0,1.0,1.0,0.0237,0.0178,0.0198,0.0,0.0
S0000nSva,261.387,261.3572,-14.3808,-14.3119,-0.4718,-0.5106,1.0321,1.0326,23.3838,23.6498,23.634,0.3301,1.0,1.0,1.0,1.0,0.0748,0.0388,0.266,0.0,0.0
S00002t8a,338.3231,338.2243,-11.7815,-11.8041,-0.6032,-0.613,0.0903,0.0938,22.8899,23.0524,20.819,0.826,1.0,1.0,1.0,1.0,0.0992,0.0104,0.1625,0.0,0.0
S00002Kya,336.6781,336.6159,-14.1133,-14.1448,-0.4124,-0.4276,-0.0466,-0.0421,22.2674,22.3326,20.952,0.5004,1.0,1.0,1.0,1.0,0.068,0.0158,0.0652,0.0,0.0
S000054ka,250.6387,250.626,-40.5736,-40.5589,-0.1578,-0.1685,0.1824,0.186,24.2492,24.2451,21.711,0.734,1.0,1.0,1.0,1.0,0.0176,0.0113,-0.004,0.0,0.0
S00002Xha,328.7096,328.5936,-10.8119,-10.8268,-0.6973,-0.7104,0.1536,0.1576,22.9111,23.1551,21.042,0.8357,1.0,1.0,1.0,1.0,0.1149,0.0137,0.2439,0.0,0.0
S0000fI1a,12.258,12.1229,-37.2313,-37.4033,-0.5497,-0.5677,-0.2456,-0.2177,23.5976,23.7226,23.114,0.6222,1.0,1.0,1.0,1.0,0.2029,0.0332,0.125,0.0,0.0
S0000OL2a,310.1944,310.3483,-4.3635,-4.4122,0.977,0.9117,-0.5917,-0.5744,22.4958,22.7715,24.57,0.5948,1.0,1.0,1.0,1.0,0.161,0.0675,0.2757,0.0,0.0
S000060Ya,285.3581,285.3355,-30.3121,-30.1861,-0.0047,-0.0183,0.6092,0.6191,22.2968,22.4108,21.923,0.239,1.0,1.0,0.57,0.64,0.1275,0.0168,0.114,0.0,0.07
S0000WxWa,347.5204,347.4822,-12.8113,-14.1402,-1.8246,-2.2257,-4.427,-4.5905,19.0169,20.7539,24.747,0.3731,0.0,0.0,1.0,1.0,1.3295,0.4332,1.737,0.0,0.0
S000004za,276.729,276.721,-59.5541,-59.5394,-0.1602,-0.1733,0.6466,0.6461,19.5232,19.6722,16.464,0.4162,1.0,1.0,1.0,1.0,0.0153,0.0131,0.149,0.0,0.0
S00000lXa,311.319,311.0846,-18.0228,-18.1298,-1.0804,-1.1069,-0.2093,-0.1998,18.4324,18.8174,18.409,0.7149,1.0,1.0,1.0,1.0,0.2472,0.0281,0.385,0.0,0.0
S00000M2a,10.1992,10.0742,-30.2316,-30.3629,-0.4611,-0.4752,-0.1751,-0.1647,21.9364,21.9552,19.38,0.5331,1.0,1.0,1.0,1.0,0.1701,0.0175,0.0188,0.0,0.0
S00002BNa,293.4906,293.4006,-24.6671,-24.7834,-0.4721,-0.4763,-0.4967,-0.4894,23.5817,23.7101,20.887,0.3022,1.0,1.0,1.0,1.0,0.1422,0.0084,0.1284,0.0,0.0
S00002A5a,36.1522,35.8142,-7.4386,-7.2962,-0.7662,-0.8102,0.6817,0.7007,21.0687,21.4161,20.874,0.406,1.0,1.0,1.0,1.0,0.3641,0.0479,0.3474,0.0,0.0
S00001dba,306.4495,306.391,-11.8305,-11.8367,-0.3634,-0.3753,0.0473,0.0507,22.1484,22.1872,19.936,0.5131,1.0,1.0,1.0,1.0,0.0576,0.0124,0.0388,0.0,0.0
S00001Fda,342.7567,342.6657,3.7595,3.7165,-0.381,-0.4009,-0.0243,-0.0174,20.9903,21.0584,20.329,0.4382,1.0,1.0,1.0,1.0,0.1005,0.0211,0.0681,0.0,0.0
S000005ea,314.8641,314.7965,-4.2029,-4.2116,-0.395,-0.4054,0.0628,0.0655,19.3717,19.459,16.631,0.5883,1.0,1.0,1.0,1.0,0.068,0.0107,0.0874,0.0,0.0
S000009ja,26.922,26.8457,-14.8839,-14.9459,-0.2891,-0.2981,-0.0829,-0.0799,22.3014,22.3499,17.346,0.9387,1.0,1.0,1.0,1.0,0.0963,0.0095,0.0485,0.0,0.0
S00004wQa,327.1532,327.0627,-1.6533,-1.6933,-0.3684,-0.3853,-0.0309,-0.0262,22.5102,22.5493,21.571,0.4656,1.0,1.0,1.0,1.0,0.0989,0.0175,0.0391,0.0,0.0
S00004Dba,258.896,258.9004,-51.8809,-51.9065,0.1099,0.0769,-0.3332,-0.3216,21.9199,21.9721,21.599,0.2069,1.0,1.0,0.93,0.95,0.0257,0.035,0.0522,0.0,0.02
S0000K8Ca,7.9726,8.1237,-2.5442,-2.6953,0.2764,0.2327,-0.6394,-0.6222,23.6621,23.7517,24.451,0.4367,1.0,1.0,0.9,0.86,0.2137,0.047,0.0896,0.0,-0.04
S0000DWLa,2.2476,2.2941,-0.0158,-0.3773,-0.2996,-0.3383,-1.1201,-1.1199,23.9557,24.258,24.272,0.2548,1.0,1.0,0.73,0.82,0.3645,0.0387,0.3023,0.0,0.09
S0000vowa,19.3747,18.4728,-36.8356,-36.583,-1.6372,-1.6318,1.4443,1.4713,23.2911,23.7426,23.974,0.6944,1.0,1.0,1.0,1.0,0.7647,0.0275,0.4515,0.0,0.0
S0000uQ8a,326.9408,326.843,-3.1977,-3.3235,-0.7936,-0.8274,-0.5285,-0.5099,22.4565,22.7713,23.951,0.5558,1.0,1.0,1.0,1.0,0.1592,0.0386,0.3148,0.0,0.0
S0000f67a,310.0173,309.9617,1.3566,1.4605,-0.1212,-0.1581,0.6666,0.6654,22.2094,22.3697,23.065,0.746,1.0,1.0,0.71,0.74,0.1179,0.037,0.1603,0.0,0.03
S0000eR9a,273.407,273.5132,-27.3377,-27.3317,0.923,0.8922,0.0317,0.0394,23.2262,23.4692,23.045,0.373,1.0,1.0,1.0,1.0,0.0946,0.0317,0.243,0.0,0.0
S00008xsa,251.484,251.5494,-45.6422,-45.5958,0.592,0.5712,0.6982,0.7043,23.6367,23.8139,22.358,0.3074,1.0,1.0,0.8,0.89,0.0651,0.0218,0.1772,-0.0,0.09
S0000C2Wa,320.1668,320.066,0.5116,0.5496,-0.4898,-0.5195,0.3952,0.4044,24.0507,24.3339,24.212,0.4099,1.0,1.0,0.94,0.99,0.1078,0.0312,0.2832,0.0,0.05
S00002Qma,0.6493,0.9805,-10.9112,-11.7715,-0.1246,-0.2374,-3.3413,-3.4153,17.8312,19.064,20.994,0.4649,0.0,0.0,1.0,1.0,0.9197,0.1348,1.2327,0.0,0.0
S00001jza,197.8379,198.7385,-25.6188,-25.6386,0.8003,0.7844,0.303,0.3112,21.9149,22.5956,20.037,0.3607,1.0,1.0,0.98,0.97,0.8124,0.0179,0.6807,0.0,-0.01
S00001fZa,5.4523,5.5911,-48.2928,-48.102,0.7032,0.6774,0.2576,0.3039,19.2986,19.3665,19.982,0.6202,1.0,1.0,1.0,1.0,0.212,0.0531,0.0679,0.0,0.0
S00001fqa,307.5627,307.4785,-14.3562,-14.4213,-0.4696,-0.4794,-0.2217,-0.2171,22.0596,22.1426,19.973,0.5107,1.0,1.0,1.0,1.0,0.1043,0.0108,0.083,0.0,0.0
S000019Ea,291.8095,291.6234,-20.8547,-20.9383,-0.8763,-0.8979,-0.2848,-0.2759,20.0894,20.3645,19.876,0.7577,1.0,1.0,1.0,1.0,0.1929,0.0234,0.2752,0.0,0.0
S00003XVa,325.6126,325.5637,-12.1119,-12.1273,-0.3113,-0.3202,0.0055,0.0086,24.0405,24.1761,21.407,0.6908,1.0,1.0,0.32,0.56,0.0502,0.0094,0.1356,0.0,0.24
S00002bpa,279.9798,279.9889,-55.1071,-55.111,0.3267,0.2942,-0.2226,-0.2246,21.2611,21.2945,20.666,0.4322,1.0,1.0,0.87,0.82,0.0065,0.0326,0.0334,0.0,-0.05
S00004lba,257.3194,257.1803,-49.5139,-49.4672,-1.3363,-1.3706,0.4843,0.4974,21.6615,21.9804,21.519,0.682,1.0,1.0,1.0,1.0,0.1017,0.0367,0.3188,0.0,0.0
S00004Jua,39.6432,39.6441,-1.5598,-1.2886,0.2631,0.2285,0.7119,0.7263,22.1501,22.3686,21.626,0.3118,1.0,1.0,0.94,0.97,0.2712,0.0374,0.2185,0.0,0.03
S0000267a,289.3998,289.387,-16.7084,-16.7223,-0.0601,-0.0655,-0.0615,-0.0581,23.5607,23.4665,20.617,0.4313,0.0018,0.0017,0.0,0.01,0.0185,0.0064,-0.0942,-0.0,0.01
S000004sa,316.3483,316.2816,-17.4509,-17.4707,-0.2955,-0.3017,-0.0044,-0.0011,20.0041,20.0698,16.433,0.4552,1.0,1.0,1.0,1.0,0.0666,0.007,0.0657,0.0,0.0
S0000o9Na,250.9649,251.0638,-24.2644,-24.3688,1.5613,1.5208,-1.3567,-1.3477,23.4468,24.0434,23.648,0.3328,1.0,1.0,1.0,1.0,0.1379,0.0415,0.5966,0.0,0.0
S0000ne0a,3.7226,3.8823,-8.1069,-8.1981,0.4466,0.3971,-0.5694,-0.5491,22.3391,22.5089,23.6,0.5256,1.0,1.0,0.99,0.97,0.1825,0.0534,0.1698,0.0,-0.02
S0000fsja,325.3856,325.2168,-10.7944,-10.7992,-0.9298,-0.9681,0.2957,0.3082,21.762,22.0919,23.094,0.3735,1.0,1.0,1.0,1.0,0.1658,0.0403,0.3299,0.0,0.0
S0000fpra,326.4174,326.3598,-5.986,-6.0298,-0.4042,-0.4215,-0.138,-0.132,23.8661,23.8735,23.091,0.242,1.0,1.0,1.0,1.0,0.0722,0.0183,0.0075,0.0,0.0
S00009gya,330.1377,330.0641,-11.6839,-11.7247,-0.5033,-0.5166,-0.0868,-0.0819,23.6545,23.7254,22.459,0.5582,1.0,1.0,1.0,1.0,0.0828,0.0142,0.071,0.0,0.0
S0000cCLa,339.766,339.6286,-2.2893,-2.2686,-0.4413,-0.4614,0.2628,0.2708,23.8975,23.7995,22.843,0.6731,1.0,1.0,1.0,1.0,0.1388,0.0217,-0.098,0.0,0.0
S0000bpva,15.3177,15.1817,-3.8368,-3.7484,-0.2779,-0.3031,0.4196,0.4307,23.7849,23.8306,22.718,0.1602,1.0,1.0,0.8,0.91,0.1619,0.0276,0.0457,0.0,0.11
S000044Ra,261.6269,261.6181,-28.1433,-28.118,-0.1236,-0.1462,0.3965,0.3997,22.3817,22.5097,21.441,0.458,1.0,1.0,1.0,1.0,0.0265,0.0228,0.128,0.0,0.0
S00000kRa,332.0061,331.9155,2.9726,2.9591,-0.3451,-0.3555,0.0747,0.0773,21.2801,21.3239,18.346,0.7135,1.0,1.0,0.98,0.99,0.0914,0.0107,0.0437,0.0,0.01
S0000TH7a,260.0171,259.9769,-57.1681,-57.175,-0.8118,-0.8827,-0.3043,-0.2987,23.8205,23.9001,24.685,0.6132,1.0,1.0,1.0,1.0,0.0229,0.0711,0.0796,0.0,0.0
S000020sa,322.1126,322.0504,-10.1754,-10.2313,-0.4586,-0.4885,-0.2193,-0.2118,20.1915,20.2888,20.562,0.6204,1.0,1.0,1.0,1.0,0.0828,0.0308,0.0973,0.0,0.0
S0000lpia,248.3765,248.5861,-26.2616,-26.2777,2.7698,2.7244,0.1633,0.1713,23.1877,23.7071,23.498,0.6331,0.0,0.0,1.0,1.0,0.1886,0.046,0.5193,0.0,0.0
S0000yJZa,267.7122,267.6493,-29.6878,-29.5851,-0.4344,-0.4637,0.842,0.8522,23.9017,24.205,24.099,0.373,1.0,1.0,1.0,1.0,0.1163,0.031,0.3032,0.0,0.0
S0000DM6a,10.2985,10.0828,2.5953,2.5377,-0.688,-0.7345,0.0921,0.1076,23.9683,24.3241,24.267,0.5891,1.0,1.0,1.0,1.0,0.223,0.049,0.3559,0.0,0.0
S00015OXa,27.4317,27.666,-14.2341,-14.5071,0.3616,0.2923,-0.9898,-0.956,23.658,24.1847,24.929,0.463,1.0,1.0,0.86,0.82,0.3551,0.0772,0.5267,0.0,-0.04
S000004da,48.7666,48.7809,-7.3015,-7.3405,0.009,0.0018,-0.117,-0.1161,21.8465,21.8267,16.364,0.7048,0.0007,0.0007,0.88,0.97,0.0415,0.0074,-0.0198,-0.0,0.09
S00001OOa,252.8496,252.8965,-25.4163,-25.3921,0.5988,0.5819,0.4285,0.4305,22.0213,22.1359,20.44,0.2114,1.0,1.0,0.74,0.75,0.0488,0.017,0.1146,0.0,0.01
S000029ea,309.3159,309.2508,-13.4721,-13.5006,-0.3327,-0.3463,-0.0617,-0.0566,22.1355,22.2589,20.646,0.4807,1.0,1.0,1.0,1.0,0.0694,0.0145,0.1234,0.0,0.0
S00006XTa,292.9258,292.6387,-25.9783,-26.3571,-1.4591,-1.4943,-1.6134,-1.5943,20.9489,21.7873,22.105,0.4698,1.0,1.0,1.0,1.0,0.4584,0.0401,0.8384,0.0,0.0
S00006Hca,17.6447,17.9427,-37.7765,-37.6082,1.0125,0.9515,0.0628,0.1163,20.5684,20.6849,22.056,0.5299,1.0,1.0,1.0,1.0,0.2895,0.0812,0.1165,0.0,0.0
S00007jpa,6.9882,6.8293,-31.5743,-31.8523,-0.7339,-0.7494,-0.4763,-0.4592,23.8024,23.9229,22.166,0.4816,1.0,1.0,1.0,1.0,0.3092,0.0231,0.1206,0.0,0.0
S00009Mza,255.7451,255.8231,-26.4575,-26.4714,1.1304,1.096,-0.1101,-0.1049,22.7429,23.0336,22.527,0.4359,1.0,1.0,1.0,1.0,0.0712,0.0348,0.2907,0.0,0.0
S0000auba,347.986,347.8992,1.7936,1.7681,-0.3429,-0.3573,0.037,0.0422,24.3313,24.2418,22.613,0.6092,1.0,1.0,1.0,1.0,0.0905,0.0153,-0.0895,0.0,0.0
S0000bhFa,310.165,309.8525,-34.1974,-34.0596,-1.0089,-1.0191,0.9326,0.9428,23.7624,24.127,22.704,0.4464,1.0,1.0,1.0,1.0,0.2929,0.0144,0.3646,0.0,0.0
S0000dtYa,258.7233,258.7902,-40.2919,-40.3012,0.9324,0.9098,-0.0886,-0.0836,24.1109,24.295,22.925,0.4497,1.0,1.0,0.99,0.99,0.0519,0.0232,0.1841,0.0,0.0
S0000cEfa,321.6606,321.6572,-13.501,-13.6712,-0.3265,-0.3653,-1.0287,-1.0227,21.6992,21.9755,22.846,0.6373,1.0,1.0,0.86,0.89,0.1702,0.0393,0.2763,0.0,0.03
S00003Sna,248.6681,248.7738,-41.513,-41.5332,1.2117,1.1916,-0.112,-0.1049,22.8444,23.1993,21.378,0.6294,1.0,1.0,1.0,1.0,0.0817,0.0213,0.3549,0.0,0.0
S0000jeOa,306.7909,306.9182,-28.4013,-28.474,0.4651,0.4332,-0.4601,-0.4373,22.4466,22.646,23.366,0.4682,1.0,1.0,0.99,0.98,0.1335,0.0392,0.1994,-0.0,-0.01
S0000d6Fa,269.2374,269.1046,-22.65,-22.5769,-1.0189,-1.0523,0.6178,0.6278,22.6887,23.0565,22.89,0.6801,1.0,1.0,1.0,1.0,0.1427,0.0349,0.3678,0.0,0.0
S0000tu2a,311.7219,311.5057,-20.5556,-20.3411,-0.61,-0.6268,1.192,1.1911,23.4834,24.1756,23.896,0.5126,1.0,1.0,0.96,0.97,0.2949,0.0169,0.6922,0.0,0.01
S0000Quya,347.4351,347.5037,1.9932,1.9595,0.2257,0.1826,-0.237,-0.2233,23.2066,23.1855,24.611,0.5509,1.0,1.0,0.87,0.86,0.0764,0.0453,-0.021,0.0,-0.01
S000001ia,259.901,259.9015,-28.2073,-28.2079,0.0137,0.009,-0.0089,-0.0081,20.1912,20.1934,14.907,0.4632,0.0019,0.0018,0.55,0.57,0.0008,0.0047,0.0022,-0.0,0.02
S00000THa,347.0312,346.9587,-9.3819,-9.424,-0.303,-0.312,-0.0432,-0.0388,22.4505,22.4884,19.564,0.7006,1.0,1.0,0.19,0.54,0.083,0.0101,0.0379,0.0,0.35
S00005eqa,0.8365,0.534,-43.4932,-43.8142,-1.1358,-1.1413,-0.4237,-0.3814,21.6905,21.9088,21.75,0.4562,1.0,1.0,1.0,1.0,0.3889,0.0427,0.2182,0.0,0.0
S00008nma,327.7909,327.7303,-8.5084,-8.5171,-0.3533,-0.3645,0.0711,0.0749,24.3225,24.162,22.334,0.3681,1.0,1.0,0.98,1.0,0.0606,0.0118,-0.1605,0.0,0.02
S0000hw8a,276.1245,276.216,-4.6572,-4.6719,0.8812,0.8514,-0.1694,-0.1671,23.8644,23.8896,23.25,0.6428,1.0,1.0,0.99,0.99,0.0924,0.0299,0.0252,0.0,0.0
S00003NEa,251.9278,251.9944,-17.1201,-17.1112,0.9569,0.9353,0.2509,0.2522,22.319,22.5225,21.354,0.4421,1.0,1.0,1.0,1.0,0.0643,0.0217,0.2035,0.0,0.0
S0000k9Aa,332.0845,332.013,-9.2052,-9.2446,-0.4814,-0.495,-0.0767,-0.0715,24.4746,24.4093,23.424,0.5819,1.0,1.0,1.0,1.0,0.0809,0.0146,-0.0653,0.0,0.0
S0000pCna,324.9689,324.7181,1.9361,2.113,-0.6513,-0.6938,0.9529,0.9478,21.3909,21.7212,23.721,0.4199,1.0,1.0,0.97,0.98,0.3068,0.0428,0.3303,0.0,0.01
S0000raFa,305.6059,305.5041,0.8388,0.939,-0.4963,-0.5241,0.805,0.8109,24.0119,24.092,23.794,0.4764,1.0,1.0,0.89,0.92,0.1429,0.0284,0.0801,0.0,0.03
S0000Edka,275.4191,275.3971,-51.5273,-51.5219,-0.5453,-0.6202,0.2461,0.2451,22.9746,23.0331,24.281,0.6631,1.0,1.0,1.0,1.0,0.0147,0.075,0.0585,0.0,0.0
S000001ja,331.6344,331.5857,-11.0095,-11.0284,-0.3177,-0.3241,-0.0073,-0.0052,18.7423,18.756,14.923,0.5882,1.0,1.0,0.56,0.94,0.0514,0.0068,0.0137,0.0,0.38
S000019la,265.7959,265.8236,-38.5787,-38.524,0.1942,0.1836,0.4833,0.4869,22.3014,22.4406,19.871,0.3993,1.0,1.0,0.37,0.66,0.0588,0.0113,0.1392,0.0,0.29
S0000fjMa,250.9718,250.6194,-42.8828,-42.9493,-3.5342,-3.5823,-1.4066,-1.3783,22.239,23.4669,23.083,0.7473,0.0,0.0,1.0,1.0,0.2666,0.0557,1.228,0.0,0.0
S0000gMpa,250.9762,251.1027,-32.0147,-32.0174,1.5763,1.5425,0.1591,0.1665,23.4851,23.9117,23.196,0.4243,1.0,1.0,1.0,1.0,0.1072,0.0346,0.4266,-0.0,0.0
S0000kZXa,5.5154,5.6536,3.8907,3.8643,0.3873,0.3625,-0.2593,-0.2517,23.8631,23.833,23.474,0.5732,1.0,1.0,0.87,0.96,0.1404,0.0259,-0.0301,0.0,0.09
S00000kua,357.1413,356.9301,1.2887,1.1585,-0.7749,-0.7914,-0.1178,-0.1118,19.8895,20.1029,18.323,0.7791,1.0,1.0,1.0,1.0,0.2481,0.0175,0.2134,0.0,0.0
S00007k2a,295.22,295.2976,-32.0116,-31.9584,0.3844,0.3635,0.1888,0.2024,22.31,22.3649,22.167,0.4146,1.0,1.0,0.96,0.96,0.0847,0.025,0.0548,0.0,0.0
S00009kRa,298.8015,298.6461,-19.5801,-19.607,-0.7269,-0.7398,0.0047,0.0107,23.984,24.1919,22.469,0.792,1.0,1.0,1.0,1.0,0.1488,0.0142,0.2079,0.0,0.0
S0000fjOa,350.1811,349.9967,-3.7007,-3.7638,-0.7506,-0.7654,0.051,0.0584,24.0235,24.1395,23.083,0.7959,1.0,1.0,1.0,1.0,0.1945,0.0166,0.116,0.0,0.0
S0000NDHa,342.7961,342.7078,1.9421,1.8527,-0.4228,-0.4693,-0.1991,-0.1879,23.4208,23.537,24.542,0.526,1.0,1.0,1.0,1.0,0.1256,0.0478,0.1162,0.0,0.0
S000197Ia,342.8651,342.6718,-4.372,-4.8676,-1.3642,-1.3922,-1.4743,-1.4462,23.6094,24.3431,24.988,0.4544,1.0,1.0,1.0,1.0,0.5317,0.0396,0.7337,0.0,0.0
S000005sa,335.8709,335.8206,0.3227,0.3021,-0.2096,-0.2138,-0.0037,-0.0024,22.4499,22.465,16.684,0.5672,0.0006,0.0005,0.01,0.01,0.0544,0.0044,0.0151,-0.0,0.0
S00000vwa,9.0523,9.0716,-6.7671,-6.8134,0.0062,-0.0097,-0.1595,-0.1542,20.9702,20.9708,18.858,0.5178,0.0009,0.0009,0.3,0.56,0.0501,0.0168,0.0005,-0.0,0.26
S0000ldHa,322.9102,322.8177,-6.3012,-6.3236,-0.5559,-0.5772,0.0456,0.0517,24.1381,24.2565,23.488,0.6068,1.0,1.0,1.0,1.0,0.0946,0.0221,0.1184,0.0,0.0
S00001e2a,281.6287,281.5937,-47.4691,-47.4561,-0.9686,-1.0388,0.6378,0.635,18.5934,18.9509,19.95,0.4432,1.0,1.0,1.0,1.0,0.027,0.0702,0.3575,0.0,0.0
S00001v0a,8.6643,8.5547,-49.1276,-49.3106,-0.5874,-0.6027,-0.2777,-0.253,21.3914,21.4341,20.2,0.1809,1.0,1.0,1.0,1.0,0.1966,0.0291,0.0427,0.0,0.0
S00001z7a,38.6255,38.8606,-7.4537,-7.3238,0.8132,0.7906,0.1266,0.1372,21.3275,21.5486,20.254,0.5657,1.0,1.0,1.0,1.0,0.2669,0.025,0.2211,0.0,0.0
S00001Q1a,315.0067,314.9536,-6.7008,-6.7299,-0.3439,-0.3513,-0.0773,-0.075,23.8913,23.9231,20.453,0.5659,1.0,1.0,1.0,1.0,0.0603,0.0078,0.0318,0.0,0.0
S00002r8a,264.93,265.0207,-27.0324,-27.0351,0.6914,0.6769,-0.0009,0.0037,22.7283,22.9711,20.802,0.6592,1.0,1.0,1.0,1.0,0.0808,0.0152,0.2428,0.0,0.0
S00004mEa,46.0098,45.904,-1.7876,-1.8139,-0.3158,-0.3428,0.0152,0.0221,22.6966,22.7502,21.525,0.7224,1.0,1.0,1.0,1.0,0.109,0.0279,0.0535,0.0,0.0
S000022Sa,253.7801,253.7541,-36.4574,-36.4445,-0.3607,-0.3768,0.1715,0.1751,22.2631,22.2751,20.585,0.7359,1.0,1.0,1.0,1.0,0.0246,0.0165,0.012,0.0,0.0
S00001xVa,348.2649,348.1108,-13.2175,-13.3813,-0.7508,-0.768,-0.3445,-0.3394,22.1714,22.5151,20.238,0.7934,1.0,1.0,1.0,1.0,0.2222,0.0179,0.3437,0.0,0.0
S0000175a,291.7417,291.7344,-63.6247,-63.6183,-0.1637,-0.1941,0.5285,0.5239,20.8021,20.8936,19.831,0.2209,1.0,1.0,0.99,1.0,0.0072,0.0307,0.0915,0.0,0.01
S00013nNa,356.5381,356.5322,-15.4687,-15.1907,0.4526,0.3888,0.9437,0.9674,22.9109,23.1863,24.884,0.5982,1.0,1.0,1.0,0.99,0.278,0.068,0.2754,0.0,-0.01
S0000o1va,324.3295,324.2736,-6.4156,-6.4492,-0.3706,-0.3906,-0.0876,-0.0802,23.8918,23.9077,23.641,0.5098,1.0,1.0,1.0,1.0,0.065,0.0213,0.0159,0.0,0.0
S0000mYFa,307.9906,308.0207,-0.7994,-0.932,0.017,-0.0378,-0.9175,-0.9035,21.9474,22.1852,23.586,0.1749,1.0,1.0,0.83,0.86,0.1359,0.0566,0.2378,0.0,0.03
S0000fyYa,308.2434,308.0976,0.6886,0.8851,-0.5927,-0.6348,1.5078,1.5145,22.1759,22.6844,23.103,0.2888,1.0,1.0,0.99,0.98,0.2447,0.0426,0.5085,0.0,-0.01
S0000eUha,259.8537,259.9096,-20.4939,-20.5667,0.9022,0.873,-1.0468,-1.042,23.5209,23.8236,23.049,0.2908,1.0,1.0,1.0,1.0,0.0897,0.0296,0.3026,0.0,0.0
S0000eKpa,277.1681,277.0517,-50.5966,-50.5689,-3.2421,-3.3102,1.291,1.2923,21.9118,23.0269,23.036,0.7316,0.0,0.0,1.0,1.0,0.0789,0.0681,1.1151,0.0,0.0
S0000bSja,6.2324,6.1061,-32.343,-32.5022,-0.4884,-0.5121,-0.2374,-0.2219,23.8551,23.8635,22.767,0.5589,1.0,1.0,1.0,1.0,0.1917,0.0283,0.0084,0.0,0.0
S00006EPa,351.0733,350.52,-3.4663,-2.7796,-0.8874,-0.9539,3.3505,3.3039,18.9872,20.2796,22.049,0.6763,0.0,0.0,1.0,1.0,0.8812,0.0812,1.2925,0.0,0.0
S00004Nba,356.539,356.4111,-15.828,-15.8229,-0.41,-0.4241,0.2012,0.2081,23.8854,23.9824,21.641,0.2868,1.0,1.0,1.0,1.0,0.1232,0.0157,0.0971,0.0,0.0
S00001Mra,45.0002,44.8738,-12.7191,-12.6449,-0.2947,-0.3315,0.318,0.3262,20.9617,21.0248,20.413,0.5444,1.0,1.0,1.0,1.0,0.144,0.0377,0.0631,0.0,0.0
S00001Lja,346.7062,346.6037,-4.3847,-4.4447,-0.4362,-0.4463,-0.0625,-0.0578,22.815,22.9783,20.401,0.7593,1.0,1.0,1.0,1.0,0.1185,0.0112,0.1633,0.0,0.0
S00001Bna,291.8603,291.8428,-53.6262,-53.6278,-0.6447,-0.6589,0.0115,0.0096,22.8332,22.953,20.282,0.7911,1.0,1.0,1.0,1.0,0.0105,0.0144,0.1198,0.0,0.0
S0000y2ra,354.3954,353.9872,-28.9393,-29.0754,-1.0257,-1.0725,0.0715,0.1018,23.6904,23.7718,24.074,0.7365,1.0,1.0,1.0,1.0,0.3822,0.0557,0.0814,0.0,0.0
S0000lnza,21.4099,21.2359,-4.7259,-4.8883,-0.7406,-0.769,-0.2822,-0.2686,23.878,23.9461,23.497,0.6709,1.0,1.0,1.0,1.0,0.2376,0.0314,0.0682,0.0,0.0
S0000knua,338.869,338.6996,-2.741,-2.7897,-0.6504,-0.673,0.0613,0.0694,23.6671,23.7503,23.437,0.4159,1.0,1.0,1.0,1.0,0.176,0.024,0.0832,0.0,0.0
S0000hO2a,256.1322,256.1823,-54.4311,-54.4532,0.9356,0.8992,-0.4604,-0.454,23.6509,23.6191,23.27,0.5509,1.0,1.0,1.0,1.0,0.0365,0.037,-0.0318,0.0,0.0
